473;אבו סנאן;769.667;58.03;77.94;1.694
182;אבן יהודה;686;52.35;46.38;1.031
2710;אום אל-פחם;3386.33;65.2;110.93;1.215
31;אופקים;1675;65.44;68.52;0.967
2400;אור יהודה;2683.67;74.47;66.58;0.745
1020;אור עקיבא;1438.67;84.78;67.7;1.035
565;אזור;855.667;70.5;56.37;1.124
2600;אילת;2798.67;56.81;57.76;0.654
478;אכסאל;831.333;61.32;104.07;2.362
1309;אלעד;598.333;13.53;60.41;1.83
529;אעבלין;715;56.86;82.1;1.936
3570;אריאל;1169.33;62.91;56.39;0.956
70;אשדוד;16056.33;73.3;60.46;0.278
7100;אשקלון;9666.33;75.04;56.51;0.335
6000;באקה אל-גרביה;1852.33;66.58;102.23;1.472
2530;באר יעקב;765;41.76;53.98;1.175
9000;באר שבע;15261.33;75.39;57.61;0.272
480;בית ג'ן;488;43.01;59.22;1.58
9200;בית שאן;1142.67;65.88;64.6;1.117
2610;בית שמש;2633;25.99;55.25;0.646
3780;ביתר עילית;544;11.29;57.61;1.902
6100;בני ברק;6731.67;37.27;55.9;0.396
9800;בנימינה-גבעת עדה*;478;32.56;37.41;1.008
6200;בת ים;13301.33;103.3;60.32;0.316
3730;גבעת זאב;542.333;34.75;45.66;1.213
681;גבעת שמואל;1120.33;44.95;44.94;0.78
6300;גבעתיים;3437;60.06;41.08;0.422
1292;ג'דיידה-מכר;1164.33;58.49;87.58;1.607
2550;גדרה;1232.33;47.28;50.74;0.84
166;גן יבנה;1028.33;46.48;60.7;1.171
229;גני תקווה;878;55.11;48.67;0.963
541;ג'סר א-זרקא;952;68.87;138.12;3.122
628;ג'ת;750.333;67.93;92.44;2.063
494;דאלית אל-כרמל;968;58.13;71.75;1.408
490;דייר אל-אסד;562.333;48.48;82.45;2.128
2200;דימונה;2878;86.54;75.44;0.815
9700;הוד השרון;2944.33;53.06;45;0.483
6400;הרצלייה;6146.33;67.27;43.54;0.33
9300;זכרון יעקב;988.333;44.51;44.24;0.823
6500;חדרה;7147;81.18;61.71;0.426
6600;חולון;15472.33;82.19;57.82;0.274
1303;חורה;377.333;19.76;70.84;2.377
4000;חיפה;21405.33;77.15;47.78;0.197
6700;טבריה;2851.67;67.12;55.54;0.604
498;טורעאן;640.333;48.63;79.52;1.917
2730;טייבה;2843;70.08;103.34;1.192
2720;טירה;1654.33;67.11;87.41;1.303
2100;טירת כרמל;1766.67;91.8;69.8;0.967
